Race, Gender, Age, Education (0 = no college, 1 = bachelors, 2 = graduate), Living, Party
Hispanic, Female, 60, 0, Urban,D
Black, Male, 72, 0, Suburban,D
Hispanic, Female, 27, 2, Suburban,D
Black, Female, 69, 0, Suburban,R
Asian, Male, 50, 0, Suburban,R
Black, Female, 39, 0, Urban,D
Hispanic, Female, 28, 2, Suburban,D
White, Male, 47, 2, Urban,R
Hispanic, Female, 31, 2, Rural,R
White, Female, 55, 1, Rural,R
Black, Female, 41, 1, Urban,D
Hispanic, Female, 35, 2, Rural,R
Hispanic, Male, 54, 1, Rural,D
Black, Female, 38, 0, Suburban,D
Black, Male, 31, 1, Rural,D
Hispanic, Female, 38, 2, Suburban,R
Asian, Female, 33, 0, Rural,D
Asian, Female, 57, 2, Urban,R
Black, Female, 23, 1, Urban,D
White, Female, 65, 2, Urban,R
Hispanic, Female, 76, 2, Urban,R
Black, Female, 41, 2, Urban,D
Hispanic, Male, 43, 1, Rural,D
Black, Female, 43, 0, Urban,R
White, Female, 31, 1, Suburban,R
Asian, Male, 21, 2, Suburban,D
White, Female, 25, 0, Suburban,R
Black, Male, 28, 2, Urban,D
Asian, Female, 35, 1, Rural,R
White, Female, 42, 2, Rural,R
White, Female, 33, 1, Rural,D
White, Male, 63, 0, Urban,D
Black, Female, 60, 0, Urban,D
White, Male, 30, 2, Rural,D
Hispanic, Female, 34, 2, Suburban,D
Asian, Female, 46, 1, Suburban,R
Asian, Female, 21, 1, Urban,R
Asian, Female, 66, 2, Urban,R
Hispanic, Male, 21, 1, Urban,R
White, Male, 69, 1, Suburban,D
Asian, Male, 37, 2, Rural,D
White, Female, 38, 2, Urban,D
Asian, Female, 55, 2, Urban,D
Asian, Female, 33, 1, Urban,D
Hispanic, Male, 42, 1, Suburban,D
White, Female, 38, 1, Urban,R
Asian, Male, 72, 1, Rural,R
Hispanic, Male, 44, 2, Suburban,D
White, Male, 45, 0, Rural,D
Asian, Female, 61, 2, Rural,R
Asian, Female, 18, 1, Suburban,D
Asian, Female, 21, 0, Rural,D
Hispanic, Female, 55, 0, Suburban,D
White, Male, 34, 1, Suburban,R
Asian, Female, 61, 1, Rural,R
Asian, Male, 62, 0, Urban,D
Asian, Male, 41, 0, Suburban,R
White, Female, 60, 2, Urban,R
Hispanic, Female, 63, 2, Urban,R
Black, Male, 72, 0, Urban,R
White, Female, 19, 0, Urban,D
Black, Female, 27, 0, Urban,R
Asian, Female, 34, 0, Rural,D
Asian, Male, 39, 1, Urban,D
White, Male, 62, 0, Urban,D
White, Male, 64, 0, Suburban,D
White, Female, 54, 0, Rural,R
Hispanic, Male, 63, 2, Urban,D
Black, Male, 29, 1, Suburban,R
White, Male, 62, 0, Suburban,R
White, Male, 58, 0, Rural,R
White, Female, 61, 2, Suburban,D
White, Female, 57, 1, Rural,D
Asian, Male, 39, 0, Suburban,D
Hispanic, Male, 26, 1, Rural,R
Hispanic, Female, 24, 1, Suburban,D
White, Female, 18, 0, Urban,D
White, Male, 40, 0, Suburban,R
Hispanic, Female, 70, 0, Suburban,D
White, Male, 40, 2, Urban,R
Hispanic, Male, 45, 2, Suburban,D
Hispanic, Female, 66, 1, Urban,D
White, Female, 49, 2, Rural,R
Hispanic, Female, 43, 2, Suburban,R
Black, Female, 58, 0, Urban,D
Hispanic, Male, 73, 2, Urban,D
Black, Female, 57, 0, Rural,D
Hispanic, Female, 74, 0, Rural,D
Black, Male, 60, 0, Urban,R
Asian, Male, 53, 0, Urban,R
Black, Male, 27, 2, Rural,D
White, Female, 26, 0, Urban,D
White, Female, 78, 1, Rural,R
Black, Female, 75, 2, Urban,D
Hispanic, Female, 49, 2, Suburban,D
Hispanic, Male, 47, 2, Urban,R
Hispanic, Male, 52, 2, Suburban,D
Asian, Female, 75, 1, Suburban,D
White, Male, 74, 1, Urban,D
Asian, Male, 42, 0, Rural,R
Black, Female, 73, 0, Rural,R
Black, Female, 27, 2, Rural,D
Hispanic, Male, 55, 0, Urban,R
White, Male, 48, 2, Urban,D
Black, Female, 37, 0, Rural,D
Black, Female, 77, 2, Suburban,R
White, Female, 37, 0, Urban,R
White, Male, 71, 1, Suburban,R
Asian, Male, 21, 2, Suburban,D
White, Male, 52, 1, Urban,R
Black, Female, 80, 0, Suburban,D
Asian, Male, 43, 0, Urban,R
White, Female, 67, 2, Rural,D
Asian, Male, 40, 1, Suburban,R
Asian, Male, 40, 2, Suburban,D
Hispanic, Male, 72, 2, Suburban,D
Asian, Female, 78, 0, Suburban,R
White, Female, 45, 2, Rural,R
Asian, Female, 73, 2, Rural,D
White, Male, 48, 0, Rural,R
Hispanic, Female, 18, 2, Suburban,D
Black, Male, 68, 1, Urban,D
Black, Female, 50, 2, Urban,R
Asian, Male, 74, 0, Suburban,D
Hispanic, Female, 32, 0, Urban,R
Hispanic, Male, 38, 1, Urban,D
Black, Female, 26, 2, Rural,D
White, Male, 24, 1, Rural,R
Hispanic, Male, 68, 1, Urban,R
White, Female, 31, 2, Rural,D
Hispanic, Female, 25, 1, Urban,D
Black, Male, 52, 2, Rural,R
Black, Female, 39, 2, Suburban,D
White, Female, 19, 2, Suburban,R
Hispanic, Female, 62, 0, Urban,R
Black, Female, 66, 0, Urban,R
Black, Female, 39, 1, Urban,R
White, Male, 43, 0, Suburban,D
White, Female, 59, 0, Rural,D
Hispanic, Male, 48, 2, Suburban,R
Asian, Female, 44, 1, Suburban,R
Hispanic, Male, 78, 1, Suburban,R
White, Female, 68, 1, Suburban,R
Asian, Male, 34, 1, Rural,D
White, Male, 38, 2, Suburban,R
White, Female, 64, 1, Urban,R
Hispanic, Male, 52, 1, Rural,R
Black, Female, 75, 2, Rural,D
Hispanic, Male, 72, 2, Suburban,R
Black, Male, 76, 2, Suburban,D
White, Male, 62, 2, Urban,R
White, Female, 38, 1, Rural,R
Black, Male, 36, 1, Urban,D
White, Male, 77, 2, Rural,R
White, Female, 49, 2, Urban,R
White, Female, 38, 2, Rural,R
Hispanic, Female, 38, 0, Rural,R
White, Male, 46, 1, Suburban,D
Hispanic, Male, 71, 1, Urban,R
Black, Female, 42, 1, Rural,D
Hispanic, Male, 34, 1, Suburban,D
Hispanic, Female, 33, 1, Urban,D
White, Female, 70, 0, Suburban,R
Asian, Female, 38, 1, Rural,D
White, Female, 34, 1, Suburban,R
White, Male, 18, 0, Suburban,R
White, Male, 67, 2, Suburban,D
Asian, Female, 35, 1, Rural,R
Asian, Male, 49, 0, Rural,D
White, Female, 72, 1, Rural,R
White, Female, 80, 2, Urban,R
Hispanic, Male, 64, 1, Suburban,D
Hispanic, Male, 45, 1, Suburban,D
White, Male, 19, 0, Rural,D
Asian, Female, 69, 1, Rural,R
Hispanic, Female, 65, 0, Urban,D
Black, Female, 34, 1, Urban,R
Black, Female, 64, 1, Rural,D
Asian, Female, 30, 2, Rural,D
Hispanic, Male, 47, 0, Urban,R
White, Male, 78, 0, Suburban,R
Black, Male, 78, 1, Urban,R
White, Male, 29, 2, Rural,R
Black, Male, 32, 0, Rural,R
Black, Female, 70, 1, Urban,D
Black, Male, 20, 1, Urban,D
Hispanic, Female, 39, 1, Urban,D
Black, Female, 36, 0, Urban,D
Asian, Female, 53, 1, Suburban,D
White, Female, 79, 2, Rural,R
Hispanic, Female, 36, 0, Urban,D
Hispanic, Female, 18, 1, Urban,D
Black, Male, 59, 1, Suburban,D
Hispanic, Male, 78, 0, Urban,D
Hispanic, Male, 66, 2, Suburban,D
Hispanic, Male, 55, 2, Rural,D
Hispanic, Female, 40, 1, Rural,R
Hispanic, Female, 45, 0, Suburban,D
Black, Female, 65, 2, Rural,D
Black, Male, 69, 0, Suburban,D
Hispanic, Female, 63, 2, Urban,D
Black, Female, 26, 1, Urban,D
Black, Male, 38, 1, Suburban,D
White, Male, 28, 0, Suburban,D
Asian, Female, 51, 1, Suburban,D
Asian, Female, 49, 1, Suburban,D
Hispanic, Male, 71, 1, Suburban,R
Black, Male, 68, 0, Suburban,R
Hispanic, Male, 71, 2, Rural,R
Black, Female, 22, 1, Urban,D
White, Female, 63, 2, Rural,R
Black, Female, 37, 0, Rural,D
Black, Male, 23, 0, Rural,D
Black, Female, 53, 0, Rural,D
Hispanic, Male, 60, 0, Urban,D
White, Female, 35, 0, Urban,D
Black, Female, 24, 1, Urban,R
Hispanic, Male, 25, 2, Rural,D
Asian, Male, 56, 2, Urban,R
Asian, Male, 47, 0, Suburban,D
Hispanic, Female, 73, 2, Suburban,D
Asian, Female, 52, 1, Rural,D
Hispanic, Female, 43, 0, Suburban,R
Hispanic, Male, 77, 1, Urban,D
Hispanic, Male, 61, 2, Rural,R
Asian, Female, 75, 1, Suburban,R
Asian, Female, 49, 0, Rural,D
White, Female, 54, 1, Rural,R
Black, Male, 38, 0, Rural,D
White, Female, 63, 1, Rural,D
Asian, Male, 59, 1, Urban,D
Hispanic, Male, 70, 2, Suburban,D
White, Male, 29, 2, Urban,R
Black, Male, 41, 2, Urban,D
Black, Male, 37, 0, Suburban,D
White, Male, 39, 2, Urban,D
Hispanic, Female, 34, 0, Urban,D
Hispanic, Male, 45, 2, Suburban,D
White, Female, 36, 0, Suburban,D
Hispanic, Female, 31, 1, Suburban,D
Asian, Male, 67, 2, Urban,D
White, Female, 42, 0, Rural,R
White, Male, 72, 0, Suburban,R
Black, Male, 23, 1, Rural,R
White, Female, 44, 0, Urban,R
Asian, Female, 48, 0, Suburban,D
Asian, Female, 35, 2, Urban,D
Black, Male, 75, 1, Rural,D
White, Female, 75, 2, Suburban,D
Black, Male, 63, 2, Urban,D
Black, Male, 47, 2, Urban,R
Hispanic, Female, 33, 0, Urban,D
White, Male, 46, 0, Rural,R
Black, Male, 44, 2, Suburban,D
Black, Male, 25, 1, Suburban,D
Black, Male, 53, 2, Urban,D
Black, Male, 65, 2, Urban,R
White, Male, 32, 1, Suburban,R
Asian, Female, 44, 0, Urban,R
Black, Male, 21, 1, Urban,D
Black, Female, 66, 0, Urban,D
Hispanic, Male, 51, 2, Suburban,R
Asian, Female, 48, 1, Suburban,R
Black, Male, 79, 1, Urban,D
Asian, Male, 55, 0, Urban,R
Hispanic, Male, 75, 2, Suburban,D
Asian, Female, 56, 2, Rural,D
Hispanic, Female, 26, 1, Rural,R
Asian, Male, 31, 1, Urban,R
White, Female, 35, 2, Urban,R
Asian, Female, 55, 0, Suburban,R
Asian, Male, 66, 0, Suburban,D
White, Male, 33, 0, Urban,D
White, Male, 31, 0, Suburban,R
Hispanic, Female, 22, 0, Urban,D
Hispanic, Female, 45, 2, Urban,D
Black, Male, 72, 0, Suburban,R
Hispanic, Female, 54, 2, Rural,R
Black, Female, 51, 1, Rural,D
Asian, Female, 47, 2, Suburban,R
Black, Female, 70, 2, Urban,R
White, Female, 23, 0, Rural,D
Asian, Male, 19, 1, Suburban,R
Asian, Female, 40, 2, Rural,R
White, Male, 31, 1, Rural,R
Asian, Male, 57, 1, Rural,D
White, Male, 72, 0, Suburban,R
Asian, Female, 23, 2, Urban,R
Asian, Female, 22, 0, Suburban,R
Asian, Male, 57, 2, Urban,D
Black, Female, 38, 1, Urban,D
White, Male, 57, 2, Suburban,R
White, Male, 34, 2, Suburban,R
Hispanic, Male, 49, 2, Suburban,D
Hispanic, Male, 48, 1, Rural,R
Asian, Male, 41, 1, Rural,R
Hispanic, Male, 28, 1, Urban,D
Asian, Male, 77, 0, Rural,D
White, Female, 47, 1, Rural,R
Hispanic, Male, 53, 1, Rural,D
White, Male, 28, 1, Urban,D
White, Male, 23, 1, Rural,R
Hispanic, Female, 32, 2, Urban,D
Black, Male, 45, 1, Rural,R
Black, Male, 72, 1, Rural,R
Black, Male, 50, 1, Urban,D
Hispanic, Male, 52, 2, Suburban,R
Asian, Female, 71, 0, Urban,D
Asian, Male, 28, 2, Rural,R
Black, Male, 79, 1, Rural,R
Black, Female, 47, 2, Suburban,R
Hispanic, Female, 58, 1, Urban,D
White, Male, 62, 2, Suburban,R
White, Male, 76, 2, Rural,R
White, Female, 21, 1, Urban,D
White, Female, 30, 2, Rural,D
Asian, Female, 39, 2, Rural,D
Hispanic, Male, 78, 1, Urban,D
Black, Male, 30, 2, Urban,D
Hispanic, Male, 18, 2, Rural,D
Hispanic, Female, 34, 2, Rural,D
Black, Female, 35, 2, Urban,D
White, Male, 51, 1, Urban,R
White, Female, 18, 2, Suburban,D
White, Female, 53, 1, Suburban,D
Asian, Female, 37, 1, Rural,D
Black, Female, 57, 1, Rural,D
Asian, Male, 45, 2, Rural,R
White, Male, 41, 1, Urban,D
White, Male, 47, 1, Suburban,R
Black, Female, 64, 2, Rural,R
Hispanic, Male, 34, 1, Suburban,R
White, Female, 56, 1, Suburban,D
Asian, Female, 39, 2, Rural,D
Hispanic, Male, 50, 2, Rural,R
Black, Female, 70, 0, Urban,D
Asian, Male, 78, 1, Rural,D
Black, Female, 49, 0, Rural,D
Asian, Female, 45, 0, Rural,R
Asian, Female, 38, 2, Rural,R
Hispanic, Male, 39, 2, Urban,D
White, Female, 73, 2, Rural,D
Black, Female, 41, 2, Suburban,D
Black, Male, 25, 0, Rural,R
Asian, Female, 66, 1, Urban,R
Black, Female, 78, 1, Suburban,D
Hispanic, Male, 63, 0, Urban,D
Hispanic, Male, 57, 1, Suburban,D
Black, Male, 47, 2, Urban,D
White, Male, 25, 0, Rural,R
Asian, Male, 67, 1, Rural,D
White, Male, 30, 0, Rural,D
Black, Female, 74, 2, Suburban,R
White, Female, 33, 2, Suburban,D
Asian, Female, 78, 0, Rural,D
Hispanic, Female, 35, 1, Suburban,R
Hispanic, Female, 33, 0, Urban,D
White, Male, 26, 2, Suburban,R
White, Male, 39, 1, Rural,R
White, Female, 52, 1, Suburban,D
Hispanic, Male, 49, 0, Urban,D
Asian, Male, 26, 2, Rural,R
Asian, Male, 61, 1, Suburban,R
Black, Male, 25, 1, Suburban,R
Hispanic, Female, 71, 1, Suburban,D
White, Male, 66, 0, Rural,D
Hispanic, Female, 59, 2, Urban,D
Hispanic, Female, 37, 1, Suburban,R
White, Male, 23, 0, Rural,R
Black, Female, 74, 1, Rural,D
Asian, Female, 53, 0, Rural,D
White, Male, 60, 0, Urban,R
Black, Female, 25, 1, Urban,D
Asian, Male, 60, 0, Rural,R
Asian, Male, 31, 0, Rural,R
Black, Female, 58, 2, Urban,D
White, Female, 72, 1, Rural,D
Hispanic, Male, 77, 1, Rural,D
Hispanic, Male, 28, 2, Urban,D
Black, Female, 48, 2, Rural,D
White, Female, 75, 2, Rural,R
Black, Female, 56, 1, Urban,D
Asian, Female, 44, 1, Rural,D
Hispanic, Female, 35, 0, Suburban,R
White, Female, 61, 2, Urban,D
White, Female, 32, 2, Rural,R
White, Female, 42, 2, Urban,D
Hispanic, Male, 41, 0, Rural,D
Asian, Female, 76, 2, Urban,R
Hispanic, Female, 49, 2, Urban,D
Asian, Male, 40, 2, Suburban,D
Black, Male, 20, 2, Suburban,D
Hispanic, Male, 79, 1, Suburban,R
Asian, Male, 52, 0, Rural,R
Black, Male, 19, 2, Suburban,D
Asian, Male, 18, 0, Suburban,D
Hispanic, Female, 32, 1, Rural,D
White, Female, 67, 1, Rural,R
Asian, Female, 32, 2, Suburban,R
Hispanic, Male, 78, 0, Rural,R
Asian, Male, 31, 0, Urban,R
Black, Male, 70, 1, Urban,D
Asian, Female, 57, 0, Rural,D
Black, Male, 44, 2, Suburban,D
White, Male, 19, 1, Rural,R
Asian, Male, 42, 2, Rural,R
White, Male, 50, 1, Rural,D
Hispanic, Male, 30, 2, Rural,R
Black, Male, 54, 1, Urban,R
White, Female, 61, 2, Suburban,D
White, Male, 31, 1, Suburban,R
Asian, Male, 55, 1, Rural,R
White, Female, 58, 0, Suburban,R
White, Female, 38, 2, Urban,R
Black, Female, 41, 2, Urban,D
Black, Male, 52, 1, Suburban,D
Asian, Male, 26, 2, Urban,D
White, Female, 75, 2, Rural,R
Hispanic, Female, 35, 2, Rural,D
Asian, Male, 26, 2, Suburban,R
Hispanic, Male, 76, 2, Rural,D
Hispanic, Female, 57, 2, Urban,D
Hispanic, Female, 50, 0, Urban,D
Hispanic, Male, 45, 2, Urban,R
Black, Female, 45, 2, Rural,D
Black, Male, 60, 1, Urban,D
Black, Male, 36, 2, Urban,D
Black, Male, 77, 2, Urban,D
Black, Male, 23, 1, Urban,D
Hispanic, Male, 57, 0, Suburban,R
Hispanic, Female, 33, 1, Suburban,D
Black, Male, 66, 1, Rural,R
Asian, Female, 32, 2, Rural,R
White, Female, 57, 0, Urban,D
Asian, Female, 23, 2, Rural,D
Black, Male, 41, 0, Urban,R
Black, Male, 62, 1, Rural,D
White, Male, 70, 1, Rural,R
Black, Female, 38, 0, Suburban,D
Black, Female, 47, 2, Rural,R
Asian, Male, 23, 1, Rural,R
Black, Female, 61, 0, Suburban,D
Black, Female, 56, 0, Rural,D
Hispanic, Female, 32, 2, Rural,D
White, Female, 50, 1, Rural,D
Hispanic, Male, 56, 0, Suburban,R
Black, Female, 80, 2, Suburban,D
White, Male, 62, 1, Urban,R
Black, Male, 69, 1, Rural,R
Hispanic, Male, 26, 0, Rural,D
Black, Female, 78, 2, Rural,R
Black, Male, 35, 1, Rural,D
Asian, Male, 76, 1, Suburban,R
Asian, Male, 67, 2, Suburban,R
Asian, Male, 52, 2, Urban,R
Asian, Male, 78, 2, Rural,D
White, Male, 37, 1, Suburban,R
Asian, Female, 45, 1, Suburban,D
Hispanic, Male, 39, 0, Rural,D
White, Male, 20, 2, Rural,D
Black, Female, 75, 2, Suburban,R
Hispanic, Female, 54, 0, Urban,D
Black, Female, 21, 2, Suburban,D
Asian, Male, 22, 1, Urban,D
Asian, Male, 59, 2, Rural,D
Hispanic, Male, 41, 0, Rural,D
Black, Female, 60, 0, Urban,D
Hispanic, Female, 21, 0, Rural,R
Hispanic, Female, 63, 0, Suburban,D
Hispanic, Female, 48, 2, Urban,D
Black, Female, 68, 2, Urban,D
Hispanic, Female, 20, 1, Rural,D
White, Female, 80, 0, Rural,R
Black, Male, 79, 1, Suburban,R
Asian, Male, 40, 0, Rural,D
Black, Male, 40, 2, Rural,R
Asian, Female, 41, 1, Urban,R
Hispanic, Female, 46, 1, Urban,D
Hispanic, Female, 39, 2, Urban,D
Hispanic, Male, 58, 0, Urban,D
Black, Male, 41, 0, Rural,D
Black, Male, 63, 1, Rural,R
Black, Female, 47, 1, Suburban,D
Hispanic, Female, 29, 2, Urban,D
White, Male, 31, 1, Rural,D
Hispanic, Male, 47, 2, Urban,D
Hispanic, Male, 56, 2, Rural,R
White, Male, 24, 0, Rural,D
Asian, Female, 22, 2, Rural,D
White, Male, 19, 1, Urban,D
White, Male, 55, 0, Suburban,R
Hispanic, Male, 79, 0, Urban,R
Asian, Female, 64, 2, Rural,R
Asian, Female, 23, 2, Rural,R
Hispanic, Male, 46, 1, Suburban,R
Asian, Male, 30, 2, Urban,R
Hispanic, Female, 54, 0, Urban,R
Hispanic, Female, 62, 1, Suburban,R
White, Female, 25, 0, Urban,D
White, Male, 66, 2, Rural,D
White, Male, 32, 2, Rural,D
Asian, Male, 57, 1, Urban,D
Hispanic, Female, 41, 2, Urban,D
White, Female, 56, 2, Urban,R
Hispanic, Male, 45, 0, Suburban,D
Asian, Male, 76, 1, Suburban,R
Hispanic, Female, 74, 2, Rural,D
Black, Male, 79, 0, Suburban,R
Black, Male, 63, 1, Rural,R
Hispanic, Male, 34, 1, Rural,D
Hispanic, Female, 66, 1, Rural,D
Black, Male, 60, 1, Rural,D
Asian, Male, 29, 0, Rural,D
White, Female, 72, 2, Rural,R
Hispanic, Female, 38, 2, Urban,D
White, Female, 40, 2, Suburban,D
Black, Female, 18, 0, Suburban,D
White, Male, 78, 0, Urban,R
Black, Male, 50, 2, Suburban,D
Hispanic, Male, 75, 1, Rural,D
Hispanic, Male, 32, 2, Rural,R
White, Male, 56, 2, Suburban,R
White, Male, 51, 1, Suburban,D
Hispanic, Male, 27, 0, Urban,D
Black, Female, 72, 2, Urban,R
Black, Male, 40, 1, Suburban,R
White, Male, 29, 0, Suburban,R
Hispanic, Male, 25, 2, Urban,R
Black, Male, 20, 0, Suburban,D
Asian, Female, 67, 1, Suburban,R
Hispanic, Female, 41, 1, Suburban,D
White, Female, 38, 0, Rural,R
Black, Female, 25, 0, Urban,R
White, Female, 77, 1, Urban,R
Black, Male, 78, 2, Urban,D
White, Male, 67, 0, Rural,R
White, Male, 52, 2, Rural,D
Asian, Female, 27, 0, Urban,D
Black, Female, 35, 2, Suburban,R
White, Female, 18, 0, Rural,D
Hispanic, Female, 46, 0, Rural,D
White, Male, 19, 2, Urban,D
White, Male, 59, 0, Urban,D
Black, Female, 70, 2, Urban,R
White, Male, 27, 2, Rural,D
Black, Female, 47, 2, Rural,D
Hispanic, Male, 25, 0, Rural,D
Hispanic, Female, 67, 0, Rural,R
Black, Male, 63, 0, Rural,R
Hispanic, Male, 65, 1, Suburban,D
Asian, Female, 57, 1, Suburban,R
Hispanic, Male, 42, 1, Rural,D
Asian, Female, 44, 2, Suburban,R
Asian, Female, 42, 2, Suburban,D
Asian, Female, 77, 0, Rural,D
White, Male, 27, 1, Urban,D
White, Male, 63, 0, Rural,D
Asian, Female, 57, 0, Suburban,D
Black, Female, 22, 0, Rural,D
Asian, Female, 31, 0, Urban,R
Asian, Female, 44, 0, Suburban,D
Black, Female, 55, 2, Suburban,R
Asian, Male, 79, 1, Suburban,R
Hispanic, Female, 66, 0, Rural,R
Hispanic, Female, 58, 1, Rural,D
Asian, Male, 19, 0, Suburban,D
Hispanic, Male, 77, 2, Urban,D
Black, Female, 78, 0, Urban,R
Black, Female, 48, 1, Urban,R
Asian, Male, 56, 2, Urban,R
Hispanic, Male, 79, 0, Urban,D
Asian, Male, 43, 2, Urban,R
Asian, Female, 76, 2, Urban,D
Hispanic, Male, 41, 1, Suburban,R
Hispanic, Female, 70, 0, Rural,D
Asian, Male, 55, 0, Rural,R
White, Female, 44, 0, Rural,R
Black, Female, 45, 0, Rural,D
Asian, Male, 52, 0, Rural,R
White, Female, 74, 1, Urban,R
Asian, Female, 20, 0, Suburban,R
Hispanic, Female, 20, 0, Urban,R
Black, Female, 50, 1, Suburban,D
White, Male, 23, 1, Rural,R
Black, Female, 53, 2, Rural,D
Black, Female, 31, 2, Suburban,D
Hispanic, Female, 43, 0, Suburban,D
Black, Male, 32, 2, Suburban,R
Asian, Female, 31, 1, Urban,D
Hispanic, Male, 35, 1, Rural,R
Asian, Male, 45, 0, Rural,R
Asian, Female, 35, 2, Rural,R
Asian, Female, 55, 0, Rural,D
Asian, Female, 77, 1, Rural,D
Asian, Female, 77, 1, Suburban,D
Black, Male, 27, 1, Suburban,D
White, Female, 58, 0, Rural,D
White, Female, 22, 1, Suburban,R
Black, Female, 35, 2, Rural,D
Hispanic, Male, 50, 2, Rural,D
White, Female, 22, 0, Rural,R
Asian, Female, 71, 1, Rural,R
Hispanic, Female, 61, 0, Urban,R
Asian, Male, 42, 1, Rural,R
Black, Female, 22, 0, Suburban,D
White, Male, 45, 2, Urban,D
White, Male, 45, 0, Urban,D
Black, Female, 26, 1, Suburban,D
Asian, Male, 80, 0, Urban,D
Hispanic, Male, 57, 0, Urban,R
Asian, Female, 37, 2, Rural,D
Asian, Male, 76, 0, Suburban,D
Hispanic, Male, 60, 1, Suburban,D
White, Female, 70, 1, Rural,D
White, Female, 36, 0, Urban,D
Black, Male, 49, 0, Suburban,D
Asian, Male, 58, 0, Rural,D
Black, Male, 70, 1, Urban,D
Hispanic, Male, 72, 1, Suburban,R
Hispanic, Male, 22, 1, Rural,D
Black, Male, 39, 1, Urban,R
Hispanic, Female, 21, 0, Rural,R
White, Female, 19, 0, Suburban,R
Hispanic, Male, 52, 0, Suburban,R
White, Male, 50, 0, Rural,R
Black, Male, 80, 1, Urban,R
White, Female, 42, 0, Suburban,D
Black, Male, 29, 2, Urban,D
Hispanic, Female, 73, 2, Suburban,R
White, Female, 60, 1, Urban,D
Asian, Male, 58, 0, Suburban,R
White, Male, 62, 2, Rural,R
Hispanic, Male, 22, 2, Rural,D
Asian, Female, 68, 2, Suburban,R
White, Male, 27, 2, Suburban,D
Asian, Female, 44, 2, Rural,D
Hispanic, Female, 48, 2, Suburban,D
Asian, Male, 58, 0, Rural,R
Asian, Male, 21, 0, Rural,D
Asian, Female, 22, 1, Rural,R
White, Female, 52, 2, Rural,R
Asian, Female, 31, 2, Rural,R
Black, Male, 63, 1, Rural,R
Hispanic, Male, 46, 0, Suburban,R
Asian, Female, 63, 2, Suburban,R
White, Female, 23, 0, Suburban,D
Hispanic, Male, 60, 2, Suburban,D
Black, Female, 61, 0, Rural,R
Asian, Male, 71, 1, Rural,D
Black, Female, 66, 1, Urban,D
Hispanic, Male, 68, 2, Urban,R
Asian, Male, 18, 0, Urban,R
Hispanic, Male, 27, 2, Rural,R
White, Female, 30, 0, Rural,R
White, Male, 68, 0, Rural,R
White, Male, 78, 1, Urban,R
Hispanic, Male, 37, 2, Rural,R
Hispanic, Female, 36, 1, Rural,R
Asian, Female, 31, 0, Suburban,R
Asian, Male, 76, 1, Suburban,D
Hispanic, Female, 50, 2, Suburban,R
White, Male, 28, 2, Rural,R
Hispanic, Female, 32, 0, Urban,D
Hispanic, Female, 61, 2, Rural,R
Black, Male, 41, 2, Rural,D
Asian, Female, 21, 1, Rural,D
Hispanic, Male, 80, 2, Suburban,R
Black, Male, 30, 2, Suburban,D
Asian, Female, 40, 2, Rural,R
Hispanic, Male, 77, 0, Urban,D
Asian, Female, 32, 1, Urban,D
Hispanic, Female, 53, 0, Suburban,D
Hispanic, Female, 75, 2, Rural,R
Hispanic, Female, 36, 0, Urban,R
White, Male, 78, 0, Rural,R
Black, Female, 54, 2, Suburban,R
Black, Male, 25, 2, Urban,D
Black, Female, 72, 1, Suburban,D
Asian, Female, 65, 0, Suburban,D
Hispanic, Male, 43, 0, Urban,D
Hispanic, Male, 64, 0, Urban,D
Black, Female, 20, 0, Urban,R
Black, Male, 75, 0, Suburban,D
Asian, Male, 68, 0, Urban,D
White, Male, 50, 2, Urban,R
Black, Female, 26, 0, Urban,D
Black, Male, 50, 2, Urban,D
Black, Male, 20, 1, Urban,D
Asian, Male, 60, 0, Suburban,D
Asian, Female, 73, 1, Suburban,R
White, Female, 71, 2, Suburban,D
White, Male, 29, 1, Rural,D
White, Male, 27, 2, Suburban,D
White, Female, 70, 0, Urban,D
Black, Male, 53, 2, Urban,D
Black, Male, 27, 2, Rural,D
Hispanic, Female, 28, 0, Rural,D
Asian, Male, 66, 2, Rural,D
Hispanic, Female, 69, 1, Rural,D
Black, Female, 20, 0, Rural,R
Hispanic, Female, 71, 1, Rural,R
White, Female, 34, 2, Rural,D
Black, Female, 46, 1, Suburban,D
Black, Female, 47, 1, Suburban,D
Asian, Male, 28, 0, Suburban,D
Asian, Female, 70, 2, Urban,R
Asian, Female, 33, 1, Rural,D
Asian, Female, 50, 2, Suburban,D
Asian, Male, 18, 0, Rural,R
Black, Male, 47, 0, Rural,R
Asian, Male, 76, 1, Suburban,D
Black, Female, 63, 2, Suburban,D
Asian, Female, 65, 1, Urban,R
Hispanic, Female, 55, 1, Suburban,D
Black, Female, 56, 0, Urban,D
Asian, Female, 38, 1, Suburban,R
Asian, Male, 71, 1, Suburban,D
Hispanic, Male, 58, 0, Rural,R
Asian, Male, 64, 2, Rural,R
Asian, Male, 35, 0, Suburban,D
Black, Female, 45, 2, Rural,R
Asian, Female, 75, 0, Urban,D
Hispanic, Female, 42, 1, Urban,R
Hispanic, Female, 28, 0, Suburban,R
Hispanic, Female, 19, 2, Suburban,R
White, Male, 68, 2, Rural,R
Black, Female, 49, 2, Suburban,R
Hispanic, Male, 64, 2, Urban,R
Hispanic, Female, 38, 1, Suburban,R
Asian, Male, 68, 0, Suburban,R
